GeneName,GeneID,A549_Bacteria_Spn,A549_Virus_IAV,A549_Virus_RSV,A549_Virus_SARSCoV2,B_cell_Protozoa_Pf,B_cell_Virus_EBV,B_cell_Virus_HBV,Dendritic_Bacteria_Bpe,Dendritic_Bacteria_MTB,Dendritic_Bacteria_Sau,Dendritic_Protozoa_Pf,Dendritic_Virus_HBV,Liver_Virus_HBV,Macrophages_Bacteria_Lmo,Macrophages_Bacteria_MTB,Macrophages_Bacteria_NTHi,Macrophages_Bacteria_SalEn,Macrophages_Bacteria_SalTy,Macrophages_Fungi_Af,Macrophages_Virus_IAV,Macrophages_Virus_SARSCoV2,Monocyte_Bacteria_Lmo,Monocyte_Virus_RSV,PBMCs_Fungi_Af,PBMCs_Protozoa_Pf,T_cell_Virus_HBV,T_cell_Virus_HIV1,hSAEC_Virus_RSV,Huh.7_Virus_HCV
SLC13A2,ENSG00000007216.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
GAS7,ENSG00000007237.19,/,/,/,/,/,Up,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,/,/
TRAPPC6A,ENSG00000007255.10,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,Down,Down,/,/,/,/,/,/,/
MATK,ENSG00000007264.15,/,/,Up,/,/,/,/,/,Down,Down,Up,/,/,/,/,Down,/,/,/,/,Down,Up,Down,/,/,/,/,Up,/
CEACAM7,ENSG00000007306.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CD79B,ENSG00000007312.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Down,/,/,/,/,Down,/,/,/,/,/,/,/
SCN4A,ENSG00000007314.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,Up,Down,/,/,/,/,/,Up
ST7L,ENSG00000007341.19,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
TKTL1,ENSG00000007350.17,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,Up,/,/,/,Down,Down,Up,/,/,/,Up,/
PAX6,ENSG00000007372.25,/,/,Up,/,Down,/,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,Down,/,/,Down,/,/,/,Down,/
RPUSD1,ENSG00000007376.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/
RHBDF1,ENSG00000007384.15,/,/,Up,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,Down,Up,/,/,/,/,/,Up,Up
LUC7L,ENSG00000007392.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CACNA2D2,ENSG00000007402.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
BAIAP3,ENSG00000007516.14,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
TSR3,ENSG00000007520.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/
PIGQ,ENSG00000007541.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CRAMP1,ENSG00000007545.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
TEAD3,ENSG00000007866.22,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,Up,/,/,Up,/,/,/,/,/,/,Up,/
SELE,ENSG00000007908.16,/,/,Up,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
DNAJC11,ENSG00000007923.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
FMO3,ENSG00000007933.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down
MYLIP,ENSG00000007944.15,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,Up,Up,/,/,Down,Down,/,/,/,/,/,/,/
NOX1,ENSG00000007952.18,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,Down,/,/,/,/,Up,/,/,/,/,Down,Up
E2F2,ENSG00000007968.7,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,Down,/,/,Down,Down,/,/,/,/,/,Down,Down
PSMB1,ENSG00000008018.9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SYN1,ENSG00000008056.14,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,Up,/,/,Up,Down,Down,/,/,/,/,Up,/
JARID2,ENSG00000008083.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,Up,/,/,/,/,/,Up,/
CDKL5,ENSG00000008086.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,Up,/,/,/,/,/,/,/
CAMK1G,ENSG00000008118.10,/,/,Up,/,/,/,/,Up,Up,/,Up,/,/,/,/,Up,Up,Up,/,/,/,Up,/,Up,/,/,/,Up,/
CDK11A,ENSG00000008128.23,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
NADK,ENSG00000008130.15,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,Up,/,Up,/,/,/,Down,Up,/,/,/,/,/,/
TFAP2B,ENSG00000008196.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
TFAP2D,ENSG00000008197.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
DLEC1,ENSG00000008226.20,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
CYTH3,ENSG00000008256.16,Up,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ADAM22,ENSG00000008277.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,Down,/
SYPL1,ENSG00000008282.10,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CYB561,ENSG00000008283.16,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up
SPAG9,ENSG00000008294.22,/,/,Up,/,/,/,/,/,Up,/,/,/,/,Up,/,Up,/,Up,/,/,Up,Up,/,/,/,/,/,Up,/
CELSR3,ENSG00000008300.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up
AASS,ENSG00000008311.16,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,Up,/,/,/,/,/,/,/,Down
PLEKHG6,ENSG00000008323.16,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,Up,/,/,Up,/,/,/,/,/,/,Up,/
SS18L2,ENSG00000008324.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MPND,ENSG00000008382.16,Down,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,/,/
MGST1,ENSG00000008394.13,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,Down,/
CRY1,ENSG00000008405.12,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,/,/,/,Up,/,/,/,/,/,/,Down,/
PGLYRP1,ENSG00000008438.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
NFIX,ENSG00000008441.19,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,Up,/,Up,/,Up,Up,Down,/,/,/,/,/,Down,/
ST3GAL1,ENSG00000008513.16,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,/,/,/,Up,Up,/,/,/,/,/,Up,Down
MMP25,ENSG00000008516.18,Up,/,Up,/,/,/,/,/,Up,Up,/,/,/,/,/,/,/,/,/,/,Up,Down,/,/,/,/,/,Up,/
IL32,ENSG00000008517.19,/,/,Up,Up,/,/,/,/,Up,Up,/,/,/,Up,/,Up,/,Up,/,/,Up,/,/,/,/,/,/,Up,Up
PKD1,ENSG00000008710.20,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Up
MAPK8IP2,ENSG00000008735.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Up,/,Up,/,/,/,/,Up,Up
MED24,ENSG00000008838.21,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
RHOBTB2,ENSG00000008853.18,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,Down,Down,/,/,/,Down,/,/,/,/,/,/,Down,/
HEATR5B,ENSG00000008869.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,Down,/,/,/,/,/,/,/
SEC62,ENSG00000008952.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RPS20,ENSG00000008988.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CSDE1,ENSG00000009307.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
UBE3C,ENSG00000009335.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,/,/
REV3L,ENSG00000009413.16,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Up,Up,/,/,/,Down,/,/,/,/,/,/,/
TENM1,ENSG00000009694.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PAX7,ENSG00000009709.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/
MASP2,ENSG00000009724.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
IYD,ENSG00000009765.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
FAM76A,ENSG00000009780.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,Down,Down,/,/,/,/,/,/,/
TRAF3IP3,ENSG00000009790.15,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,/,/,/,Up,Down,/,/,/,/,/,Up,/
POMT2,ENSG00000009830.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
VTA1,ENSG00000009844.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
MLXIPL,ENSG00000009950.16,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,Down,/,/,Up,/,Down,/,/,/,/,Down,/
BAZ1B,ENSG00000009954.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
RANBP9,ENSG00000010017.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ETV7,ENSG00000010030.14,/,/,Up,/,/,/,/,/,Up,Up,Up,/,/,Up,/,Up,Up,Up,/,Up,Up,Up,Up,/,/,/,/,Up,/
SPRTN,ENSG00000010072.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
METTL13,ENSG00000010165.20,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/
DYRK4,ENSG00000010219.14,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Up
ZNF207,ENSG00000010244.19,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/
UQCRC1,ENSG00000010256.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
STARD3NL,ENSG00000010270.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
CD9,ENSG00000010278.15,/,/,Up,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,Down,Down,Down,Up,/,/,/,Up,/
HHATL,ENSG00000010282.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
NCAPD2,ENSG00000010292.13,/,/,Down,/,/,/,/,/,/,/,Down,/,/,/,/,Down,/,Down,/,/,Down,/,/,/,/,/,/,Down,Down
IFFO1,ENSG00000010295.20,/,/,Up,/,/,/,/,/,Down,/,/,/,/,Down,/,Down,Down,Down,/,/,Down,/,/,/,/,/,/,Up,/
GIPR,ENSG00000010310.9,/,/,Up,/,/,/,/,/,Down,/,Down,/,/,/,/,/,/,Up,/,/,Up,Up,/,/,/,/,/,Up,/
PHF7,ENSG00000010318.22,/,/,Down,/,/,Down,/,/,Down,/,/,/,/,/,/,Down,/,Down,/,/,Down,/,/,/,/,/,/,Down,/
SEMA3G,ENSG00000010319.7,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,Down,/,Down,/,/,/,/,/,/
NISCH,ENSG00000010322.16,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,Down,Down,/,/,Down,/,/,/,/,/,/,/,/
STAB1,ENSG00000010327.10,/,/,Down,/,/,/,/,/,Down,Down,Down,/,/,/,/,Down,/,/,/,/,Down,Down,Down,/,/,/,/,Down,/
FUZ,ENSG00000010361.14,Down,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
SLC6A13,ENSG00000010379.16,/,/,Up,/,Down,/,/,/,Up,/,/,/,/,/,/,Up,/,Up,/,Up,/,Up,/,/,/,/,/,Up,/
IDS,ENSG00000010404.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up
PRSS3,ENSG00000010438.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Up,Up
ZNF200,ENSG00000010539.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,Up,/,/,Up,/,/,/,/,/,/,/,/
CD4,ENSG00000010610.10,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,/,Down,/,/,/,/,Down,Down,Down,/,/,/,/,/,Down
LRRC23,ENSG00000010626.15,Down,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
BTK,ENSG00000010671.18,/,/,/,/,/,/,/,/,Down,Up,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Up,/
HFE,ENSG00000010704.19,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,/,/
SCMH1,ENSG00000010803.17,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
FYN,ENSG00000010810.18,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Up,/,/,/,/,/,/,/,Down
HIVEP2,ENSG00000010818.11,Up,/,Up,/,/,/,/,Up,Up,Up,Up,/,/,Up,/,Up,Up,Up,Up,/,Up,Up,/,/,/,/,/,Up,Up
FMO1,ENSG00000010932.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Down,/,/,/,/,/,Down
ELOA,ENSG00000011007.13,/,/,/,/,/,/,/,/,/,/,Up,/,/,Up,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,Up
LYPLA2,ENSG00000011009.11,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,Up,/
CLCN6,ENSG00000011021.23,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,/,/,Down,/,/,/,Down,/,/,/,/,/,/,/,/
MRC2,ENSG00000011028.14,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,Down,/,/,/,/,Down,/,/,/,/,/,/,Up,Up
NME1-NME2,ENSG00000011052.21,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/
SLC6A7,ENSG00000011083.9,/,/,Up,/,/,/,/,/,Up,Down,/,/,/,Up,/,Down,/,Up,/,/,Down,Up,/,/,/,/,/,Up,/
TSPAN9,ENSG00000011105.14,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Down
BTBD7,ENSG00000011114.15,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/
APBA3,ENSG00000011132.12,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,Up,Up
MKS1,ENSG00000011143.19,/,/,Down,/,/,/,/,/,Down,/,Down,/,/,Down,/,Down,/,/,/,/,Down,Down,/,/,/,/,/,Down,/
ABHD5,ENSG00000011198.10,Up,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
ANOS1,ENSG00000011201.12,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/
AKAP8L,ENSG00000011243.19,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,Up,/
MBTD1,ENSG00000011258.16,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,Down,Down,/,/,/,/,Down,/,/,/,/,/,Down,/
UTP18,ENSG00000011260.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
RNF216,ENSG00000011275.19,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
TTC19,ENSG00000011295.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/
PTBP1,ENSG00000011304.22,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
DPF1,ENSG00000011332.22,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SYT7,ENSG00000011347.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Up,/,/,Up,/,/,/,/,/,/,Up,/
LARS2,ENSG00000011376.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PIK3C2A,ENSG00000011405.14,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/
PLAUR,ENSG00000011422.12,Up,/,Up,/,/,/,/,Up,/,/,Up,/,/,Up,/,Up,Up,Up,/,/,Up,Up,/,Up,/,/,/,Up,/
ANLN,ENSG00000011426.11,/,/,Down,/,/,/,/,/,Up,Down,/,/,/,/,/,Down,/,Down,/,/,/,/,/,/,/,/,/,Down,/
WIZ,ENSG00000011451.21,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RABGAP1,ENSG00000011454.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
DCN,ENSG00000011465.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
QPCTL,ENSG00000011478.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PPP5C,ENSG00000011485.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
CEP68,ENSG00000011523.15,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/
MAP4K3,ENSG00000011566.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,Down,Up,/,/,/,/,/,/,/
ZBTB32,ENSG00000011590.14,/,/,Up,/,/,/,/,/,Up,/,Up,/,/,/,/,/,Up,Up,/,/,/,/,Up,/,/,/,/,Up,/
TYROBP,ENSG00000011600.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
LDAF1,ENSG00000011638.11,/,/,Up,/,/,/,/,/,/,/,Up,/,/,/,/,Up,/,Up,/,/,/,Up,/,/,/,/,/,Up,Up
GABRA3,ENSG00000011677.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/
BRCA1,ENSG00000012048.24,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,Down,/,Down,Down,/,/,/,/,/,/,Down,/
ERCC1,ENSG00000012061.16,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
CD22,ENSG00000012124.17,/,/,Up,/,/,/,/,/,Down,/,Up,/,/,/,/,Down,/,/,/,/,Down,Up,/,/,/,/,/,/,/
SEMA3B,ENSG00000012171.20,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,Up,Up,/,/,/,/,/,/,Up,Up
MBTPS2,ENSG00000012174.12,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
PRICKLE3,ENSG00000012211.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Down,/,/,/,/,/,/,/
LTF,ENSG00000012223.13,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Up,/,Up,/,/,/,Up,/,/,/,/,/,/,/
EXTL3,ENSG00000012232.10,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
NR1H4,ENSG00000012504.15,Down,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
ELOVL5,ENSG00000012660.14,Up,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
ALOX5,ENSG00000012779.12,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,Down,/,Down,/,/,/,Down,/,/,/,/,/,/,/
KDM5D,ENSG00000012817.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CALCOCO1,ENSG00000012822.16,Down,/,Up,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Up,/
UBR7,ENSG00000012963.15,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,Down,/
MAP4K5,ENSG00000012983.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,Up,/,/,Up,Up,/,/,/,/,/,/,/
EHD3,ENSG00000013016.16,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,Down,/
PSMC4,ENSG00000013275.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,Up,/
MAN2B2,ENSG00000013288.9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
SLC7A14,ENSG00000013293.6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CLDN11,ENSG00000013297.12,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,/,/,/,Up,Up,/,/,/,/,/,/,Down
SLC25A39,ENSG00000013306.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MVP,ENSG00000013364.19,Down,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,/,/,/,Up,/,/,/,/,Up,Up
NUB1,ENSG00000013374.17,/,/,/,/,/,/,/,/,Up,Up,Up,/,/,/,/,Up,Up,Up,/,Up,Up,Up,Up,/,/,/,/,/,/
PGM3,ENSG00000013375.17,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Up,/,Up,/,/,/,Up,/,/,/,/,/,Up,/
RWDD2A,ENSG00000013392.8,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CLK1,ENSG00000013441.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
POLR3B,ENSG00000013503.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,Down,/,/,/,Down,/,/,/,/,/,Down,/
ANGEL1,ENSG00000013523.11,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,Down,Down,/,/,/,Down,/,/,/,/,/,Down,/
RNF14,ENSG00000013561.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
DNASE1L1,ENSG00000013563.14,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Up,/
DDX11,ENSG00000013573.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,Down,/
HEBP1,ENSG00000013583.10,/,/,/,/,/,/,/,/,Down,/,Up,/,/,/,/,/,/,/,/,/,Down,Up,/,Up,/,/,/,/,/
GPRC5A,ENSG00000013588.9,/,/,Up,/,/,/,/,Up,Up,/,Up,/,/,/,/,Up,Up,Up,/,/,Up,Up,Up,Up,/,/,/,Up,Up
MAMLD1,ENSG00000013619.15,/,/,Up,/,/,/,/,Up,Up,/,Up,/,/,Up,/,Up,Up,Up,/,/,Up,Up,/,/,/,/,/,/,/
CD6,ENSG00000013725.14,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
TACC3,ENSG00000013810.21,/,/,Down,/,/,/,/,/,Down,Down,Down,/,/,Down,/,Down,/,Down,/,/,Down,Down,/,/,/,/,/,Down,/
